iter	Logloss
0	0.6461692705
1	0.6106653298
2	0.5896189361
3	0.5686844927
4	0.5538986369
5	0.5361821113
6	0.5256697282
7	0.5141803066
8	0.5028699997
9	0.4960883402
10	0.4889365507
11	0.4817778778
12	0.4777256851
13	0.4710718751
14	0.4673483194
15	0.4623760616
16	0.4588326091
17	0.4557139722
18	0.4529792244
19	0.451077645
20	0.4481063376
21	0.4456699264
22	0.4434522581
23	0.4411360597
24	0.4398956923
25	0.4379777402
26	0.4361810288
27	0.4357817325
28	0.4347435398
29	0.4335504282
30	0.4330333589
31	0.4320262559
32	0.430763285
33	0.4291353318
34	0.4285338925
35	0.4275712769
36	0.4263663729
37	0.4247143718
38	0.4242998812
39	0.4240247156
40	0.4229310902
41	0.4211252958
42	0.4199330661
43	0.4190698654
44	0.4179747163
45	0.4171741649
46	0.4168036612
47	0.415687623
48	0.4150466565
49	0.414459017
50	0.4127956456
51	0.4120807088
52	0.4112814112
53	0.4104335325
54	0.4100516942
55	0.4081995768
56	0.4075308035
57	0.4069144632
58	0.4063463659
59	0.4058256262
60	0.4055333611
61	0.4051345265
62	0.4030952243
63	0.4026377607
64	0.4020175123
65	0.4016042633
66	0.4009651903
67	0.4007299383
68	0.4004030005
69	0.4000692204
70	0.3997490454
71	0.3983616924
72	0.3979355384
73	0.3976485493
74	0.3973045261
75	0.3969017782
76	0.3964423692
77	0.3960867106
78	0.395728371
79	0.3947376052
80	0.394210327
81	0.3939270458
82	0.3936232491
83	0.393396561
84	0.3931773272
85	0.3926379711
86	0.3923503765
87	0.3918693357
88	0.3915992616
89	0.3911187236
90	0.3904707034
91	0.3894281072
92	0.3891230493
93	0.3887095333
94	0.388427556
95	0.3879910282
96	0.38778869
97	0.3875232675
98	0.3872556102
99	0.3870352048
100	0.3867616537
101	0.3859996476
102	0.3856716063
103	0.3852908347
104	0.3849311428
105	0.3845530594
106	0.384182903
107	0.3840056606
108	0.383731338
109	0.3831806017
110	0.3827875157
111	0.3825128344
112	0.3819339018
113	0.3816061458
114	0.3810378017
115	0.3808136362
116	0.3805441355
117	0.3802978483
118	0.3798838371
119	0.3795242869
120	0.3788513492
121	0.3785433901
122	0.3782186323
123	0.3778984842
124	0.3775273813
125	0.3771125352
126	0.3768937164
127	0.3763583493
128	0.375953744
129	0.3756369223
130	0.3753225702
131	0.3748855797
132	0.3744286625
133	0.3740715563
134	0.3738914805
135	0.3732310483
136	0.3727187065
137	0.3723495927
138	0.3720492221
139	0.3717471411
140	0.371554642
141	0.3712525823
142	0.371099578
143	0.370686536
144	0.37052348
145	0.3701999821
146	0.3698732511
147	0.369635259
148	0.3692626555
149	0.3690043984
150	0.3686193386
151	0.3683082762
152	0.3679763639
153	0.3676484546
154	0.3674669592
155	0.3671107654
156	0.3668184792
157	0.3666131027
158	0.366380515
159	0.3661890403
160	0.3658943495
161	0.3656086705
162	0.3653248998
163	0.3650459401
164	0.3648465921
165	0.3644743329
166	0.364238271
167	0.3639644093
168	0.36353723
169	0.3633241236
170	0.3631526357
171	0.3629390575
172	0.3627767825
173	0.3625628908
174	0.3623740493
175	0.36191986
176	0.3616423833
177	0.3614128739
178	0.3611590809
179	0.3609708018
180	0.3607679223
181	0.3604166672
182	0.3602356028
183	0.3600794253
184	0.3598468862
185	0.3596458427
186	0.3595376044
187	0.3593225266
188	0.3590750734
189	0.3588723467
190	0.3587286189
191	0.3585548109
192	0.3581728214
193	0.3579265478
194	0.3577424459
195	0.357489338
196	0.3572779189
197	0.3570549596
198	0.356808072
199	0.3566383031
