iter	Passed	Remaining
0	4	807
1	5	578
2	7	503
3	9	460
4	11	443
5	13	429
6	15	417
7	17	410
8	19	408
9	21	409
10	23	405
11	25	399
12	27	392
13	28	384
14	31	383
15	33	380
16	34	375
17	37	375
18	39	371
19	40	366
20	42	364
21	44	362
22	46	358
23	48	355
24	50	352
25	52	350
26	54	349
27	55	342
28	57	340
29	60	343
30	62	340
31	64	336
32	65	332
33	68	336
34	70	333
35	72	331
36	75	330
37	76	327
38	78	324
39	79	319
40	81	317
41	84	316
42	86	316
43	88	314
44	90	312
45	92	309
46	94	308
47	96	305
48	98	303
49	100	300
50	102	298
51	104	296
52	105	293
53	108	293
54	110	290
55	111	287
56	113	285
57	116	284
58	117	281
59	119	279
60	121	277
61	123	274
62	125	272
63	127	270
64	129	268
65	131	266
66	132	263
67	134	261
68	136	258
69	138	256
70	139	253
71	141	251
72	143	249
73	145	247
74	147	245
75	149	244
76	151	242
77	153	240
78	156	239
79	157	236
80	159	234
81	161	232
82	163	230
83	165	228
84	167	226
85	169	224
86	171	222
87	173	220
88	175	218
89	177	216
90	179	214
91	181	212
92	183	210
93	185	208
94	187	206
95	188	204
96	191	202
97	192	200
98	194	198
99	197	197
100	199	195
101	201	193
102	203	191
103	205	189
104	207	187
105	209	185
106	211	183
107	213	181
108	216	180
109	217	178
110	219	175
111	220	173
112	222	171
113	224	169
114	226	167
115	228	165
116	230	163
117	232	161
118	234	159
119	236	157
120	238	155
121	240	153
122	241	151
123	243	149
124	245	147
125	247	145
126	249	143
127	251	141
128	253	139
129	254	137
130	256	135
131	258	133
132	260	131
133	262	129
134	264	127
135	266	125
136	268	123
137	270	121
138	272	119
139	274	117
140	276	115
141	278	113
142	280	111
143	282	109
144	284	107
145	285	105
146	287	103
147	289	101
148	291	99
149	293	97
150	295	95
151	297	93
152	299	91
153	300	89
154	302	87
155	304	85
156	306	83
157	308	82
158	310	80
159	312	78
160	314	76
161	316	74
162	318	72
163	320	70
164	322	68
165	324	66
166	326	64
167	328	62
168	330	60
169	332	58
170	335	56
171	337	54
172	339	53
173	341	51
174	343	49
175	345	47
176	346	45
177	348	43
178	351	41
179	353	39
180	354	37
181	356	35
182	358	33
183	360	31
184	362	29
185	364	27
186	366	25
187	368	23
188	370	21
189	372	19
190	374	17
191	376	15
192	378	13
193	380	11
194	382	9
195	384	7
196	385	5
197	387	3
198	389	1
199	391	0
